n:1 mse_avg:2.99 mse_y:3.75 mse_u:1.82 mse_v:1.12 psnr_avg:43.37 psnr_y:42.39 psnr_u:45.52 psnr_v:47.63 
n:39 mse_avg:4.67 mse_y:6.03 mse_u:2.51 mse_v:1.37 psnr_avg:41.44 psnr_y:40.33 psnr_u:44.13 psnr_v:46.76 
n:40 mse_avg:5.49 mse_y:7.19 mse_u:2.68 mse_v:1.51 psnr_avg:40.74 psnr_y:39.56 psnr_u:43.86 psnr_v:46.35 
n:41 mse_avg:5.24 mse_y:6.81 mse_u:2.73 mse_v:1.47 psnr_avg:40.94 psnr_y:39.80 psnr_u:43.77 psnr_v:46.45 
n:42 mse_avg:4.12 mse_y:5.25 mse_u:2.44 mse_v:1.30 psnr_avg:41.98 psnr_y:40.93 psnr_u:44.26 psnr_v:46.98 
n:43 mse_avg:5.22 mse_y:6.78 mse_u:2.74 mse_v:1.49 psnr_avg:40.95 psnr_y:39.82 psnr_u:43.76 psnr_v:46.41 
n:44 mse_avg:4.96 mse_y:6.41 mse_u:2.61 mse_v:1.47 psnr_avg:41.18 psnr_y:40.06 psnr_u:43.96 psnr_v:46.47 
n:45 mse_avg:5.23 mse_y:6.82 mse_u:2.67 mse_v:1.44 psnr_avg:40.95 psnr_y:39.80 psnr_u:43.87 psnr_v:46.53 
n:46 mse_avg:4.47 mse_y:5.76 mse_u:2.47 mse_v:1.35 psnr_avg:41.62 psnr_y:40.53 psnr_u:44.20 psnr_v:46.83 
n:47 mse_avg:5.30 mse_y:6.91 mse_u:2.65 mse_v:1.49 psnr_avg:40.89 psnr_y:39.74 psnr_u:43.90 psnr_v:46.39 
n:48 mse_avg:4.96 mse_y:6.43 mse_u:2.65 mse_v:1.39 psnr_avg:41.18 psnr_y:40.05 psnr_u:43.90 psnr_v:46.70 
n:49 mse_avg:5.49 mse_y:7.16 mse_u:2.80 mse_v:1.52 psnr_avg:40.73 psnr_y:39.58 psnr_u:43.66 psnr_v:46.32 
n:50 mse_avg:5.89 mse_y:7.73 mse_u:2.85 mse_v:1.58 psnr_avg:40.43 psnr_y:39.25 psnr_u:43.58 psnr_v:46.13 
